customerID,Contract,InternetService,PaymentMethod,tenure,tenure_band,MonthlyCharges,TotalCharges,addon_count,churned,churn_probability,decile
2070-FNEXE,Month-to-month,Fiber optic,Bank transfer (automatic),7,6-12m,76.45,503.6,1,1,0.4306602609744393,3
5947-SGKCL,Month-to-month,Fiber optic,Bank transfer (automatic),15,12-24m,105.35,1559.25,4,0,0.6188461208388215,2
3712-PKXZA,One year,No,Credit card (automatic),61,48-72m,20.55,1252.0,0,0,0.01709506581175176,9
6317-YPKDH,Month-to-month,DSL,Bank transfer (automatic),1,0-6m,29.95,29.95,1,1,0.4092847297215563,3
6582-OIVSP,Month-to-month,DSL,Mailed check,1,0-6m,45.3,45.3,0,0,0.3148277463115165,4
9367-WXLCH,Month-to-month,Fiber optic,Bank transfer (automatic),8,6-12m,84.5,662.65,1,1,0.6017963324579912,2
5524-KHNJP,One year,DSL,Credit card (automatic),33,24-48m,74.75,2453.3,4,0,0.0706084660065176,7
1918-ZBFQJ,Month-to-month,Fiber optic,Electronic check,13,12-24m,79.25,1111.65,2,1,0.597123891608589,2
1024-GUALD,Month-to-month,DSL,Electronic check,1,0-6m,24.8,24.8,0,1,0.6057958509316653,2
4827-USJHP,Month-to-month,DSL,Mailed check,20,12-24m,51.8,1023.85,1,0,0.23267246238989686,5
8167-GJLRN,Month-to-month,DSL,Electronic check,3,0-6m,30.4,82.15,1,0,0.4304817602953315,3
0956-SYCWG,One year,No,Electronic check,13,12-24m,19.65,244.8,0,0,0.09345129229240022,7
8017-UVSZU,Month-to-month,DSL,Credit card (automatic),40,24-48m,56.6,2379.1,1,0,0.1226967522964093,6
7100-FQPRV,One year,DSL,Credit card (automatic),43,24-48m,71.9,3173.35,3,0,0.04843813873692271,8
2472-OVKUP,Month-to-month,Fiber optic,Electronic check,6,6-12m,91.0,531.0,3,1,0.679924993633337,1
2984-RGEYA,Two year,No,Bank transfer (automatic),69,48-72m,19.75,1375.4,0,0,0.004468844172576724,10
9680-NIAUV,Two year,Fiber optic,Credit card (automatic),72,72m+,109.7,8129.3,5,0,0.0321792947230278,9
2146-EGVDT,Two year,No,Credit card (automatic),59,48-72m,19.3,1192.7,0,0,0.006455248837280172,10
2604-IJPDU,Month-to-month,Fiber optic,Electronic check,20,12-24m,96.55,1901.65,4,0,0.411271851969662,3
9178-JHUVJ,Two year,No,Bank transfer (automatic),24,24-48m,24.1,587.4,0,0,0.03761352416770277,8
6168-YBYNP,Month-to-month,Fiber optic,Electronic check,59,48-72m,111.35,6519.75,5,0,0.3275585375566962,4
7255-SSFBC,Two year,Fiber optic,Bank transfer (automatic),72,72m+,112.25,8041.65,5,0,0.04172547829268776,8
3645-DEYGF,Month-to-month,No,Mailed check,1,0-6m,20.75,20.75,0,0,0.14506799686695204,6
9323-HGFWY,One year,Fiber optic,Credit card (automatic),27,24-48m,101.9,2681.15,4,0,0.19833446777020655,5
8544-GOQSH,Month-to-month,Fiber optic,Credit card (automatic),14,12-24m,80.05,1112.3,2,0,0.39965646474463856,3
3363-DTIVD,Two year,Fiber optic,Electronic check,71,48-72m,105.55,7405.5,4,0,0.05260154237515939,8
7018-WBJNK,Month-to-month,Fiber optic,Credit card (automatic),13,12-24m,78.3,1033.95,1,0,0.5690577901199543,2
9142-KZXOP,Month-to-month,Fiber optic,Credit card (automatic),44,24-48m,68.85,2958.95,0,0,0.21579996547576058,5
7674-YTAFD,One year,Fiber optic,Bank transfer (automatic),33,24-48m,79.95,2684.85,2,0,0.14499187620471074,6
6348-SNFUS,Two year,DSL,Credit card (automatic),72,72m+,55.45,4179.2,5,0,0.011868509321535358,10
1285-OKIPP,Month-to-month,Fiber optic,Electronic check,1,0-6m,79.9,79.9,1,1,0.6870811003322361,1
7825-ECJRF,Month-to-month,Fiber optic,Electronic check,19,12-24m,106.6,1934.45,5,1,0.5133858061565045,3
1347-KTTTA,One year,Fiber optic,Credit card (automatic),64,48-72m,102.45,6654.1,5,0,0.09292473000527936,7
7841-TZDMQ,Month-to-month,DSL,Credit card (automatic),2,0-6m,46.0,84.5,0,1,0.38809417693060677,4
4195-NZGTA,Month-to-month,DSL,Electronic check,1,0-6m,25.25,25.25,0,0,0.5369074526937838,3
7157-SMCFK,Two year,No,Mailed check,61,48-72m,19.75,1124.2,0,0,0.006265438741412174,10
4709-LKHYG,One year,No,Electronic check,29,24-48m,20.0,540.05,0,0,0.04562718744391176,8
2504-DSHIH,Month-to-month,Fiber optic,Electronic check,23,12-24m,86.8,1975.85,1,0,0.6058377392937713,2
0699-NDKJM,Month-to-month,DSL,Bank transfer (automatic),57,48-72m,58.75,3437.45,5,0,0.14372660947167032,6
9286-BHDQG,Two year,DSL,Credit card (automatic),72,72m+,45.25,3139.8,4,0,0.00666060061346715,10
0230-WEQUW,Two year,DSL,Bank transfer (automatic),66,48-72m,56.6,3789.2,5,0,0.017071446574150544,9
2040-LDIWQ,Two year,DSL,Bank transfer (automatic),65,48-72m,84.2,5324.5,5,0,0.024201665231284333,9
6496-JDSSB,Month-to-month,Fiber optic,Bank transfer (automatic),8,6-12m,80.0,624.6,1,0,0.6292901638459888,2
9408-SSNVZ,Month-to-month,Fiber optic,Electronic check,4,0-6m,70.15,268.35,0,1,0.6864713070146476,1
4443-EMBNA,Two year,No,Bank transfer (automatic),71,48-72m,24.75,1836.9,0,0,0.006440835929483874,10
6469-MRVET,One year,No,Electronic check,1,0-6m,20.2,20.2,0,0,0.14712446626998188,6
0742-MOABM,Month-to-month,DSL,Mailed check,4,0-6m,50.05,179.35,1,1,0.21341340107490325,5
5961-VUSRV,One year,No,Bank transfer (automatic),12,12-24m,19.35,219.35,0,0,0.08936782234863291,7
6778-JFCMK,One year,DSL,Mailed check,24,24-48m,50.6,1288.75,3,0,0.22310211977251834,5
6341-JVQGF,One year,DSL,Mailed check,31,24-48m,81.15,2545.75,5,0,0.070319957936075,7
2232-DMLXU,Month-to-month,DSL,Mailed check,1,0-6m,55.2,55.2,1,1,0.36869875824543685,4
4811-JBUVU,Month-to-month,Fiber optic,Credit card (automatic),30,24-48m,89.9,2723.15,2,0,0.4193549041709318,3
0945-TSONX,Two year,DSL,Credit card (automatic),47,24-48m,85.3,4107.25,5,0,0.031158806043597696,9
2651-ZCBXV,Two year,Fiber optic,Credit card (automatic),54,48-72m,108.0,5760.65,5,0,0.07424503475607179,7
3316-UWXUY,Month-to-month,Fiber optic,Credit card (automatic),50,48-72m,93.5,4747.5,4,0,0.15400178657508184,6
8937-RDTHP,Month-to-month,Fiber optic,Mailed check,1,0-6m,84.6,84.6,2,1,0.5828472243782062,2
7083-MIOPC,Two year,No,Credit card (automatic),72,72m+,20.25,1566.9,0,0,0.005090768571359194,10
1984-GPTEH,Month-to-month,No,Electronic check,29,24-48m,25.15,702.0,0,0,0.13871078242147125,6
1251-KRREG,Month-to-month,DSL,Mailed check,2,0-6m,54.4,114.1,1,1,0.4399746921123769,3
0621-JFHOL,Two year,DSL,Mailed check,10,6-12m,29.6,299.05,1,0,0.131395785792872,6
9903-LYSAB,Month-to-month,Fiber optic,Electronic check,18,12-24m,73.15,1305.95,0,0,0.6397472344566734,2
0094-OIFMO,Month-to-month,Fiber optic,Electronic check,11,6-12m,95.0,1120.3,3,1,0.7749190586169462,1
9227-UAQFT,Two year,No,Mailed check,16,12-24m,19.75,284.35,0,0,0.032112343532327475,9
